id,text,target_entity,aspect,sentiment
1004,Will add to it when I think of more  lol at first answer  LOCATION1 ain't that bad,LOCATION1,safety,None
1004,Will add to it when I think of more  lol at first answer  LOCATION1 ain't that bad,LOCATION1,general,Positive
1005,In fact I've never once even seen a fight on the streets in LOCATION1 and I go out all the time during the week,LOCATION1,safety,Positive
1005,In fact I've never once even seen a fight on the streets in LOCATION1 and I go out all the time during the week,LOCATION1,price,None
1005,In fact I've never once even seen a fight on the streets in LOCATION1 and I go out all the time during the week,LOCATION1,general,None
1005,In fact I've never once even seen a fight on the streets in LOCATION1 and I go out all the time during the week,LOCATION1,transit-location,None
1006,But then again a cold wet afternoon in LOCATION1 or LOCATION2 can also be amazing,LOCATION2,transit-location,None
1006,But then again a cold wet afternoon in LOCATION1 or LOCATION2 can also be amazing,LOCATION1,price,None
1006,But then again a cold wet afternoon in LOCATION1 or LOCATION2 can also be amazing,LOCATION1,general,None
1006,But then again a cold wet afternoon in LOCATION1 or LOCATION2 can also be amazing,LOCATION1,transit-location,None
1006,But then again a cold wet afternoon in LOCATION1 or LOCATION2 can also be amazing,LOCATION2,general,None
1006,But then again a cold wet afternoon in LOCATION1 or LOCATION2 can also be amazing,LOCATION2,safety,None
1006,But then again a cold wet afternoon in LOCATION1 or LOCATION2 can also be amazing,LOCATION1,safety,None
1006,But then again a cold wet afternoon in LOCATION1 or LOCATION2 can also be amazing,LOCATION2,price,None
1007,"If your budget won't stretch to those, you could try a bit further down the road in LOCATION1",LOCATION1,safety,None
1007,"If your budget won't stretch to those, you could try a bit further down the road in LOCATION1",LOCATION1,price,Positive
1007,"If your budget won't stretch to those, you could try a bit further down the road in LOCATION1",LOCATION1,general,None
1007,"If your budget won't stretch to those, you could try a bit further down the road in LOCATION1",LOCATION1,transit-location,None
1008,"Thanks in advance Yes , LOCATION1 is the London station for Coventry",LOCATION1,safety,None
1008,"Thanks in advance Yes , LOCATION1 is the London station for Coventry",LOCATION1,transit-location,None
1008,"Thanks in advance Yes , LOCATION1 is the London station for Coventry",LOCATION1,price,None
1008,"Thanks in advance Yes , LOCATION1 is the London station for Coventry",LOCATION1,general,None
1009,Dependent on where you are but there are two options to me:- LOCATION1 (LOCATION2) A lovely green area with a great view of London,LOCATION2,price,None
1009,Dependent on where you are but there are two options to me:- LOCATION1 (LOCATION2) A lovely green area with a great view of London,LOCATION1,price,None
1009,Dependent on where you are but there are two options to me:- LOCATION1 (LOCATION2) A lovely green area with a great view of London,LOCATION1,general,None
1009,Dependent on where you are but there are two options to me:- LOCATION1 (LOCATION2) A lovely green area with a great view of London,LOCATION2,safety,None
1009,Dependent on where you are but there are two options to me:- LOCATION1 (LOCATION2) A lovely green area with a great view of London,LOCATION2,transit-location,None
1009,Dependent on where you are but there are two options to me:- LOCATION1 (LOCATION2) A lovely green area with a great view of London,LOCATION1,transit-location,None
1009,Dependent on where you are but there are two options to me:- LOCATION1 (LOCATION2) A lovely green area with a great view of London,LOCATION2,general,None
1009,Dependent on where you are but there are two options to me:- LOCATION1 (LOCATION2) A lovely green area with a great view of London,LOCATION1,safety,None
101,LOCATION1 is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision,LOCATION1,general,None
101,LOCATION1 is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision,LOCATION1,safety,None
101,LOCATION1 is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision,LOCATION1,transit-location,None
101,LOCATION1 is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision,LOCATION1,price,None
1010,LOCATION1's got good rail links into LOCATION1,LOCATION1,general,None
1010,LOCATION1's got good rail links into LOCATION1,LOCATION1,safety,None
1010,LOCATION1's got good rail links into LOCATION1,LOCATION1,price,None
1010,LOCATION1's got good rail links into LOCATION1,LOCATION1,transit-location,Positive
1011,LOCATION1 is an up-and-coming inner-London area with easy access to London and LOCATION1,LOCATION1,general,Positive
1011,LOCATION1 is an up-and-coming inner-London area with easy access to London and LOCATION1,LOCATION1,transit-location,Positive
1011,LOCATION1 is an up-and-coming inner-London area with easy access to London and LOCATION1,LOCATION1,price,None
1011,LOCATION1 is an up-and-coming inner-London area with easy access to London and LOCATION1,LOCATION1,safety,None
1012,"algate, LOCATION1",LOCATION1,general,None
1012,"algate, LOCATION1",LOCATION1,transit-location,None
1012,"algate, LOCATION1",LOCATION1,safety,None
1012,"algate, LOCATION1",LOCATION1,price,None
1013,Some parts of outer north and west London are in LOCATION1 although as a county it was abolished years ago,LOCATION1,safety,None
1013,Some parts of outer north and west London are in LOCATION1 although as a county it was abolished years ago,LOCATION1,general,None
1013,Some parts of outer north and west London are in LOCATION1 although as a county it was abolished years ago,LOCATION1,price,None
1013,Some parts of outer north and west London are in LOCATION1 although as a county it was abolished years ago,LOCATION1,transit-location,None
1014,LOCATION1 is not a very nice borough either,LOCATION1,safety,None
1014,LOCATION1 is not a very nice borough either,LOCATION1,general,Negative
1014,LOCATION1 is not a very nice borough either,LOCATION1,transit-location,None
1014,LOCATION1 is not a very nice borough either,LOCATION1,price,None
1015,"LOCATION1 is a bit like LOCATION2 , or I guess most other London suburbs",LOCATION1,price,None
1015,"LOCATION1 is a bit like LOCATION2 , or I guess most other London suburbs",LOCATION2,safety,None
1015,"LOCATION1 is a bit like LOCATION2 , or I guess most other London suburbs",LOCATION2,price,None
1015,"LOCATION1 is a bit like LOCATION2 , or I guess most other London suburbs",LOCATION1,transit-location,None
1015,"LOCATION1 is a bit like LOCATION2 , or I guess most other London suburbs",LOCATION1,general,None
1015,"LOCATION1 is a bit like LOCATION2 , or I guess most other London suburbs",LOCATION2,transit-location,None
1015,"LOCATION1 is a bit like LOCATION2 , or I guess most other London suburbs",LOCATION1,safety,None
1015,"LOCATION1 is a bit like LOCATION2 , or I guess most other London suburbs",LOCATION2,general,None
1016,"because LOCATION1 has no busses running through it , it feels nicely tucked away",LOCATION1,transit-location,Negative
1016,"because LOCATION1 has no busses running through it , it feels nicely tucked away",LOCATION1,safety,None
1016,"because LOCATION1 has no busses running through it , it feels nicely tucked away",LOCATION1,general,None
1016,"because LOCATION1 has no busses running through it , it feels nicely tucked away",LOCATION1,price,None
1017,We actually went from LOCATION1,LOCATION1,price,None
1017,We actually went from LOCATION1,LOCATION1,general,None
1017,We actually went from LOCATION1,LOCATION1,transit-location,None
1017,We actually went from LOCATION1,LOCATION1,safety,None
1018,"just keep your wits about you, bad people are everywhere  I think you'll find LOCATION1 has a lot more crimes than LOCATION2",LOCATION2,general,None
1018,"just keep your wits about you, bad people are everywhere  I think you'll find LOCATION1 has a lot more crimes than LOCATION2",LOCATION2,price,None
1018,"just keep your wits about you, bad people are everywhere  I think you'll find LOCATION1 has a lot more crimes than LOCATION2",LOCATION1,general,None
1018,"just keep your wits about you, bad people are everywhere  I think you'll find LOCATION1 has a lot more crimes than LOCATION2",LOCATION2,safety,None
1018,"just keep your wits about you, bad people are everywhere  I think you'll find LOCATION1 has a lot more crimes than LOCATION2",LOCATION1,transit-location,None
1018,"just keep your wits about you, bad people are everywhere  I think you'll find LOCATION1 has a lot more crimes than LOCATION2",LOCATION2,transit-location,None
1018,"just keep your wits about you, bad people are everywhere  I think you'll find LOCATION1 has a lot more crimes than LOCATION2",LOCATION1,safety,Negative
1018,"just keep your wits about you, bad people are everywhere  I think you'll find LOCATION1 has a lot more crimes than LOCATION2",LOCATION1,price,None
1019,"LOCATION1 has a lot of good restaurants and shops, it is right next to Hampstead Heath Park",LOCATION1,transit-location,None
1019,"LOCATION1 has a lot of good restaurants and shops, it is right next to Hampstead Heath Park",LOCATION1,general,None
1019,"LOCATION1 has a lot of good restaurants and shops, it is right next to Hampstead Heath Park",LOCATION1,safety,None
1019,"LOCATION1 has a lot of good restaurants and shops, it is right next to Hampstead Heath Park",LOCATION1,price,None
102,LOCATION1 station is about a ten minute train ride from the main station at LOCATION1,LOCATION1,price,None
102,LOCATION1 station is about a ten minute train ride from the main station at LOCATION1,LOCATION1,safety,None
102,LOCATION1 station is about a ten minute train ride from the main station at LOCATION1,LOCATION1,transit-location,Positive
102,LOCATION1 station is about a ten minute train ride from the main station at LOCATION1,LOCATION1,general,None
1020,"But LOCATION1 is one big dump I do n't know where you got that information from , but it 's not true",LOCATION1,general,Negative
1020,"But LOCATION1 is one big dump I do n't know where you got that information from , but it 's not true",LOCATION1,safety,None
1020,"But LOCATION1 is one big dump I do n't know where you got that information from , but it 's not true",LOCATION1,price,None
1020,"But LOCATION1 is one big dump I do n't know where you got that information from , but it 's not true",LOCATION1,transit-location,None
1021,For Baker St try LOCATION1 a borough north of Baker St Cheaper and easier to get to and from,LOCATION1,safety,None
1021,For Baker St try LOCATION1 a borough north of Baker St Cheaper and easier to get to and from,LOCATION1,price,Positive
1021,For Baker St try LOCATION1 a borough north of Baker St Cheaper and easier to get to and from,LOCATION1,general,None
1021,For Baker St try LOCATION1 a borough north of Baker St Cheaper and easier to get to and from,LOCATION1,transit-location,Positive
1022,"LOCATION1 is quite open,green and well kept",LOCATION1,general,Positive
1022,"LOCATION1 is quite open,green and well kept",LOCATION1,safety,None
1022,"LOCATION1 is quite open,green and well kept",LOCATION1,price,None
1022,"LOCATION1 is quite open,green and well kept",LOCATION1,transit-location,None
1023,I'd certainly prefer LOCATION1 to LOCATION1,LOCATION1,price,None
1023,I'd certainly prefer LOCATION1 to LOCATION1,LOCATION1,transit-location,None
1023,I'd certainly prefer LOCATION1 to LOCATION1,LOCATION1,general,Positive
1023,I'd certainly prefer LOCATION1 to LOCATION1,LOCATION1,safety,None
1024,LOCATION1 is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there,LOCATION1,general,Negative
1024,LOCATION1 is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there,LOCATION1,transit-location,None
1024,LOCATION1 is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there,LOCATION1,price,None
1024,LOCATION1 is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there,LOCATION1,safety,Negative
1025,LOCATION1 a generally a very safe area so there is no need to be scared of travelling alone,LOCATION1,safety,Positive
1025,LOCATION1 a generally a very safe area so there is no need to be scared of travelling alone,LOCATION1,price,None
1025,LOCATION1 a generally a very safe area so there is no need to be scared of travelling alone,LOCATION1,transit-location,None
1025,LOCATION1 a generally a very safe area so there is no need to be scared of travelling alone,LOCATION1,general,None
1026,"I live in London, i hope you realise that LOCATION1 is one of the most run down areas of London and it is home to the most notorious estate in the UK",LOCATION1,price,None
1026,"I live in London, i hope you realise that LOCATION1 is one of the most run down areas of London and it is home to the most notorious estate in the UK",LOCATION1,safety,None
1026,"I live in London, i hope you realise that LOCATION1 is one of the most run down areas of London and it is home to the most notorious estate in the UK",LOCATION1,transit-location,None
1026,"I live in London, i hope you realise that LOCATION1 is one of the most run down areas of London and it is home to the most notorious estate in the UK",LOCATION1,general,Negative
1027,"Although the area has a lacklustre reputation, the housing stock around LOCATION1 is not cheap at all",LOCATION1,safety,None
1027,"Although the area has a lacklustre reputation, the housing stock around LOCATION1 is not cheap at all",LOCATION1,transit-location,None
1027,"Although the area has a lacklustre reputation, the housing stock around LOCATION1 is not cheap at all",LOCATION1,price,Negative
1027,"Although the area has a lacklustre reputation, the housing stock around LOCATION1 is not cheap at all",LOCATION1,general,Negative
1028,I agree LOCATION1 is a little better and easy to commute to LOCATION1,LOCATION1,price,None
1028,I agree LOCATION1 is a little better and easy to commute to LOCATION1,LOCATION1,general,None
1028,I agree LOCATION1 is a little better and easy to commute to LOCATION1,LOCATION1,transit-location,Positive
1028,I agree LOCATION1 is a little better and easy to commute to LOCATION1,LOCATION1,safety,None
1029,"LOCATION1 is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space",LOCATION1,transit-location,None
1029,"LOCATION1 is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space",LOCATION1,general,Negative
1029,"LOCATION1 is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space",LOCATION1,price,Positive
1029,"LOCATION1 is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space",LOCATION1,safety,None
103,"My husband was born and educated in LOCATION1 - I wasn't born there, but moved out of London and received my secondary ed",LOCATION1,price,None
103,"My husband was born and educated in LOCATION1 - I wasn't born there, but moved out of London and received my secondary ed",LOCATION1,safety,None
103,"My husband was born and educated in LOCATION1 - I wasn't born there, but moved out of London and received my secondary ed",LOCATION1,general,None
103,"My husband was born and educated in LOCATION1 - I wasn't born there, but moved out of London and received my secondary ed",LOCATION1,transit-location,None
1030,"LOCATION1 is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands",LOCATION1,general,Negative
1030,"LOCATION1 is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands",LOCATION1,price,None
1030,"LOCATION1 is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands",LOCATION1,safety,None
1030,"LOCATION1 is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands",LOCATION1,transit-location,None
1031,I now live in LOCATION1 with a lovely set of neighbours from all sorts of ethnic backgrounds,LOCATION1,transit-location,None
1031,I now live in LOCATION1 with a lovely set of neighbours from all sorts of ethnic backgrounds,LOCATION1,general,None
1031,I now live in LOCATION1 with a lovely set of neighbours from all sorts of ethnic backgrounds,LOCATION1,price,None
1031,I now live in LOCATION1 with a lovely set of neighbours from all sorts of ethnic backgrounds,LOCATION1,safety,None
1032,I used to live in LOCATION1 a few years ago,LOCATION1,safety,None
1032,I used to live in LOCATION1 a few years ago,LOCATION1,price,None
1032,I used to live in LOCATION1 a few years ago,LOCATION1,general,None
1032,I used to live in LOCATION1 a few years ago,LOCATION1,transit-location,None
1033,"LOCATION1 is a pleasant enough suburb , but very quite and a fair distance to any large shopping area",LOCATION1,price,None
1033,"LOCATION1 is a pleasant enough suburb , but very quite and a fair distance to any large shopping area",LOCATION1,general,Positive
1033,"LOCATION1 is a pleasant enough suburb , but very quite and a fair distance to any large shopping area",LOCATION1,safety,None
1033,"LOCATION1 is a pleasant enough suburb , but very quite and a fair distance to any large shopping area",LOCATION1,transit-location,None
1034,I love it around LOCATION1,LOCATION1,general,Positive
1034,I love it around LOCATION1,LOCATION1,transit-location,None
1034,I love it around LOCATION1,LOCATION1,safety,None
1034,I love it around LOCATION1,LOCATION1,price,None
1035,Around LOCATION1  is probably the best choice,LOCATION1,general,Positive
1035,Around LOCATION1  is probably the best choice,LOCATION1,price,None
1035,Around LOCATION1  is probably the best choice,LOCATION1,safety,None
1035,Around LOCATION1  is probably the best choice,LOCATION1,transit-location,None
1036,"LOCATION1 is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections",LOCATION1,general,Positive
1036,"LOCATION1 is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections",LOCATION1,safety,Positive
1036,"LOCATION1 is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections",LOCATION1,transit-location,Positive
1036,"LOCATION1 is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections",LOCATION1,price,None
1037,Yes LOCATION1 is okay,LOCATION1,transit-location,None
1037,Yes LOCATION1 is okay,LOCATION1,price,None
1037,Yes LOCATION1 is okay,LOCATION1,general,Positive
1037,Yes LOCATION1 is okay,LOCATION1,safety,None
1038,"Have a look at this link and you'll see what I'm talking about:  Most younger people like to live nearer the London, so in Zones 2 or 3. If you live in a not so nice area of Zone 2 (eg LOCATION2) you could rent a decent 2 bed for around 900 per month, but if you wanted to live in a good area of Zone 2 (eg LOCATION1) you'd probably be paying double that at least  Have a look at websites such as gumtree",LOCATION1,general,None
1038,"Have a look at this link and you'll see what I'm talking about:  Most younger people like to live nearer the London, so in Zones 2 or 3. If you live in a not so nice area of Zone 2 (eg LOCATION2) you could rent a decent 2 bed for around 900 per month, but if you wanted to live in a good area of Zone 2 (eg LOCATION1) you'd probably be paying double that at least  Have a look at websites such as gumtree",LOCATION1,safety,None
1038,"Have a look at this link and you'll see what I'm talking about:  Most younger people like to live nearer the London, so in Zones 2 or 3. If you live in a not so nice area of Zone 2 (eg LOCATION2) you could rent a decent 2 bed for around 900 per month, but if you wanted to live in a good area of Zone 2 (eg LOCATION1) you'd probably be paying double that at least  Have a look at websites such as gumtree",LOCATION2,general,None
1038,"Have a look at this link and you'll see what I'm talking about:  Most younger people like to live nearer the London, so in Zones 2 or 3. If you live in a not so nice area of Zone 2 (eg LOCATION2) you could rent a decent 2 bed for around 900 per month, but if you wanted to live in a good area of Zone 2 (eg LOCATION1) you'd probably be paying double that at least  Have a look at websites such as gumtree",LOCATION1,price,None
1038,"Have a look at this link and you'll see what I'm talking about:  Most younger people like to live nearer the London, so in Zones 2 or 3. If you live in a not so nice area of Zone 2 (eg LOCATION2) you could rent a decent 2 bed for around 900 per month, but if you wanted to live in a good area of Zone 2 (eg LOCATION1) you'd probably be paying double that at least  Have a look at websites such as gumtree",LOCATION2,price,None
1038,"Have a look at this link and you'll see what I'm talking about:  Most younger people like to live nearer the London, so in Zones 2 or 3. If you live in a not so nice area of Zone 2 (eg LOCATION2) you could rent a decent 2 bed for around 900 per month, but if you wanted to live in a good area of Zone 2 (eg LOCATION1) you'd probably be paying double that at least  Have a look at websites such as gumtree",LOCATION1,transit-location,None
1038,"Have a look at this link and you'll see what I'm talking about:  Most younger people like to live nearer the London, so in Zones 2 or 3. If you live in a not so nice area of Zone 2 (eg LOCATION2) you could rent a decent 2 bed for around 900 per month, but if you wanted to live in a good area of Zone 2 (eg LOCATION1) you'd probably be paying double that at least  Have a look at websites such as gumtree",LOCATION2,safety,None
1038,"Have a look at this link and you'll see what I'm talking about:  Most younger people like to live nearer the London, so in Zones 2 or 3. If you live in a not so nice area of Zone 2 (eg LOCATION2) you could rent a decent 2 bed for around 900 per month, but if you wanted to live in a good area of Zone 2 (eg LOCATION1) you'd probably be paying double that at least  Have a look at websites such as gumtree",LOCATION2,transit-location,None
1039,May I suggest you look at LOCATION1,LOCATION1,general,Positive
1039,May I suggest you look at LOCATION1,LOCATION1,price,None
1039,May I suggest you look at LOCATION1,LOCATION1,transit-location,None
1039,May I suggest you look at LOCATION1,LOCATION1,safety,None
104,LOCATION1 is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1,LOCATION1,transit-location,Positive
104,LOCATION1 is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1,LOCATION1,price,None
104,LOCATION1 is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1,LOCATION1,safety,None
104,LOCATION1 is on the Metropolitan Line of the Underground ; the trains are frequent and take 35 minutes to LOCATION1,LOCATION1,general,None
1040,"I'm in touch with a very nice family, but they live in LOCATION1 and this is the zone 4 of the London",LOCATION1,general,None
1040,"I'm in touch with a very nice family, but they live in LOCATION1 and this is the zone 4 of the London",LOCATION1,safety,None
1040,"I'm in touch with a very nice family, but they live in LOCATION1 and this is the zone 4 of the London",LOCATION1,transit-location,None
1040,"I'm in touch with a very nice family, but they live in LOCATION1 and this is the zone 4 of the London",LOCATION1,price,None
1041,I can't imagine that someone in e g  LOCATION1 would think it worthwhile to go all the way to e g  LOCATION2 to swim,LOCATION1,safety,None
1041,I can't imagine that someone in e g  LOCATION1 would think it worthwhile to go all the way to e g  LOCATION2 to swim,LOCATION1,general,None
1041,I can't imagine that someone in e g  LOCATION1 would think it worthwhile to go all the way to e g  LOCATION2 to swim,LOCATION2,safety,None
1041,I can't imagine that someone in e g  LOCATION1 would think it worthwhile to go all the way to e g  LOCATION2 to swim,LOCATION2,price,None
1041,I can't imagine that someone in e g  LOCATION1 would think it worthwhile to go all the way to e g  LOCATION2 to swim,LOCATION2,general,None
1041,I can't imagine that someone in e g  LOCATION1 would think it worthwhile to go all the way to e g  LOCATION2 to swim,LOCATION2,transit-location,None
1041,I can't imagine that someone in e g  LOCATION1 would think it worthwhile to go all the way to e g  LOCATION2 to swim,LOCATION1,price,None
1041,I can't imagine that someone in e g  LOCATION1 would think it worthwhile to go all the way to e g  LOCATION2 to swim,LOCATION1,transit-location,None
1042,LOCATION1 is quite a long way out and is expensive,LOCATION1,price,Negative
1042,LOCATION1 is quite a long way out and is expensive,LOCATION1,general,None
1042,LOCATION1 is quite a long way out and is expensive,LOCATION1,transit-location,Negative
1042,LOCATION1 is quite a long way out and is expensive,LOCATION1,safety,None
1043,You then go back to your hotel realising it was a big mistake and you should have spent a day in LOCATION1 instead,LOCATION1,transit-location,None
1043,You then go back to your hotel realising it was a big mistake and you should have spent a day in LOCATION1 instead,LOCATION1,price,None
1043,You then go back to your hotel realising it was a big mistake and you should have spent a day in LOCATION1 instead,LOCATION1,safety,None
1043,You then go back to your hotel realising it was a big mistake and you should have spent a day in LOCATION1 instead,LOCATION1,general,None
1044,For example; I live in LOCATION1 but I always say LOCATION2,LOCATION1,safety,None
1044,For example; I live in LOCATION1 but I always say LOCATION2,LOCATION2,price,None
1044,For example; I live in LOCATION1 but I always say LOCATION2,LOCATION2,transit-location,None
1044,For example; I live in LOCATION1 but I always say LOCATION2,LOCATION2,safety,None
1044,For example; I live in LOCATION1 but I always say LOCATION2,LOCATION2,general,None
1044,For example; I live in LOCATION1 but I always say LOCATION2,LOCATION1,general,None
1044,For example; I live in LOCATION1 but I always say LOCATION2,LOCATION1,price,None
1044,For example; I live in LOCATION1 but I always say LOCATION2,LOCATION1,transit-location,None
1045,If you go by tube then West LOCATION1 is nice,LOCATION1,price,None
1045,If you go by tube then West LOCATION1 is nice,LOCATION1,general,Positive
1045,If you go by tube then West LOCATION1 is nice,LOCATION1,transit-location,None
1045,If you go by tube then West LOCATION1 is nice,LOCATION1,safety,None
1046,On the Kent side there is LOCATION1,LOCATION1,safety,None
1046,On the Kent side there is LOCATION1,LOCATION1,price,None
1046,On the Kent side there is LOCATION1,LOCATION1,transit-location,None
1046,On the Kent side there is LOCATION1,LOCATION1,general,None
1047,"Its London: London, borough: LOCATION1, area: LOCATION2",LOCATION2,transit-location,None
1047,"Its London: London, borough: LOCATION1, area: LOCATION2",LOCATION2,price,None
1047,"Its London: London, borough: LOCATION1, area: LOCATION2",LOCATION1,safety,None
1047,"Its London: London, borough: LOCATION1, area: LOCATION2",LOCATION1,price,None
1047,"Its London: London, borough: LOCATION1, area: LOCATION2",LOCATION1,transit-location,None
1047,"Its London: London, borough: LOCATION1, area: LOCATION2",LOCATION2,safety,None
1047,"Its London: London, borough: LOCATION1, area: LOCATION2",LOCATION1,general,None
1047,"Its London: London, borough: LOCATION1, area: LOCATION2",LOCATION2,general,None
1048,Don't even think about driving If working in LOCATION1,LOCATION1,price,None
1048,Don't even think about driving If working in LOCATION1,LOCATION1,transit-location,Negative
1048,Don't even think about driving If working in LOCATION1,LOCATION1,safety,None
1048,Don't even think about driving If working in LOCATION1,LOCATION1,general,None
1049,LOCATION1 is the place for you,LOCATION1,safety,None
1049,LOCATION1 is the place for you,LOCATION1,transit-location,None
1049,LOCATION1 is the place for you,LOCATION1,price,None
1049,LOCATION1 is the place for you,LOCATION1,general,Positive
105,I'm only too glad my parents (cockneys of the first order) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1,LOCATION1,transit-location,None
105,I'm only too glad my parents (cockneys of the first order) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1,LOCATION2,transit-location,None
105,I'm only too glad my parents (cockneys of the first order) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1,LOCATION1,safety,None
105,I'm only too glad my parents (cockneys of the first order) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1,LOCATION2,general,None
105,I'm only too glad my parents (cockneys of the first order) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1,LOCATION2,safety,None
105,I'm only too glad my parents (cockneys of the first order) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1,LOCATION1,price,None
105,I'm only too glad my parents (cockneys of the first order) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1,LOCATION2,price,None
